OBJECTID,TRACT,GEOID,pop_percent,total_pop,white,black,american_indian,asian,pacific_islander,other,hispanic,ALAND,AWATER,STUSAB,SUMLEV,GEOCODE,STATE,NAME,SHAPEAREA,SHAPELEN
116,7403,11001007403,0.0037894553654946378,2613,33,2492,7,1,0,16,53,330904,0,DC,140,11001007403,11,Census Tract 74.03,0,0
117,7404,11001007404,0.005274492600192881,3637,38,3359,12,13,1,84,114,826388,0,DC,140,11001007404,11,Census Tract 74.04,0,0
118,7406,11001007406,0.005116417347671291,3528,22,3305,19,0,1,81,119,360152,0,DC,140,11001007406,11,Census Tract 74.06,0,0
119,7407,11001007407,0.00506275877571442,3491,123,3151,11,23,5,43,109,608700,0,DC,140,11001007407,11,Census Tract 74.07,0,0
120,7408,11001007408,0.004157814210820178,2867,25,2726,5,2,1,17,17,372349,0,DC,140,11001007408,11,Census Tract 74.08,0,0
121,7409,11001007409,0.005561638471745862,3835,37,3609,12,8,1,32,80,404873,5767,DC,140,11001007409,11,Census Tract 74.09,0,0
122,7502,11001007502,0.006797235858428384,4687,69,4415,10,15,0,40,103,648317,0,DC,140,11001007502,11,Census Tract 75.02,0,0
123,7503,11001007503,0.0036661856731612873,2528,131,2209,11,17,1,21,85,515179,0,DC,140,11001007503,11,Census Tract 75.03,0,0
124,7504,11001007504,0.003959132471412308,2730,86,2453,5,16,0,44,82,764081,0,DC,140,11001007504,11,Census Tract 75.04,0,0
125,7601,11001007601,0.006805937248475444,4693,266,4094,14,23,2,67,162,1115359,141529,DC,140,11001007601,11,Census Tract 76.01,0,0
126,7603,11001007603,0.006069219557824362,4185,257,3638,8,18,1,63,121,1226616,0,DC,140,11001007603,11,Census Tract 76.03,0,0
127,7604,11001007604,0.005515231058161541,3803,226,3278,14,19,1,61,126,1369580,0,DC,140,11001007604,11,Census Tract 76.04,0,0
128,7605,11001007605,0.005312198623730141,3663,81,3360,30,28,0,31,80,453794,0,DC,140,11001007605,11,Census Tract 76.05,0,0
129,7703,11001007703,0.007580360962663786,5227,86,4703,28,8,5,186,263,1017741,1059,DC,140,11001007703,11,Census Tract 77.03,0,0
130,7707,11001007707,0.005695059785800782,3927,72,3616,10,10,1,93,159,842851,0,DC,140,11001007707,11,Census Tract 77.07,0,0
131,7708,11001007708,0.0037328963301887477,2574,29,2422,21,10,1,27,52,745809,129100,DC,140,11001007708,11,Census Tract 77.08,0,0
132,7709,11001007709,0.0030048800295847263,2072,91,1874,7,9,0,25,70,828872,82685,DC,140,11001007709,11,Census Tract 77.09,0,0
133,7803,11001007803,0.006656563386000913,4590,152,4003,8,16,1,174,271,986677,3755,DC,140,11001007803,11,Census Tract 78.03,0,0
134,7804,11001007804,0.005074360629110501,3499,75,3200,21,14,0,60,117,838428,5705,DC,140,11001007804,11,Census Tract 78.04,0,0
